date,open,high,low,close,volume
11-04-01,4.4692,4.4713,4.1504,4.3249,2806400
12-04-01,4.2148,4.3031,4.1639,4.2678,3715200
16-04-01,4.2678,4.3093,4.2449,4.2761,2284800
17-04-01,4.2491,4.3924,4.2262,4.3924,2643200
18-04-01,4.4194,4.6727,4.4028,4.6,5143200
19-04-01,4.5502,4.6727,4.3041,4.4941,10764800
20-04-01,4.5201,4.5253,4.4557,4.4806,2712000
23-04-01,4.4651,4.5689,4.4422,4.4536,1750400
24-04-01,4.4422,4.4796,4.3976,4.4298,4347200
25-04-01,4.4349,4.8181,4.4028,4.6883,3999200
26-04-01,4.6779,4.8846,4.6769,4.8077,1813600
27-04-01,4.8129,4.8804,4.8108,4.8763,1006400
30-04-01,4.8648,5.1234,4.8565,5.0466,2975200
01-05-01,5.0476,5.0476,4.9116,4.9874,1955200
02-05-01,4.9697,5.2958,4.924,5.1504,2796800
03-05-01,5.1213,5.3061,5.086,5.1234,2552800
04-05-01,5.1057,5.1068,5.0279,5.0933,2303200
07-05-01,5.1089,5.1192,4.8056,4.8908,2621600
08-05-01,5.4079,5.6384,5.2449,5.2843,11696000
09-05-01,5.1452,5.302,5.14,5.2293,3283200
10-05-01,5.2833,5.3373,5.194,5.2324,3281600
11-05-01,5.275,5.3124,5.2023,5.2937,2389600
14-05-01,5.2906,5.3892,5.2449,5.3892,4198400
15-05-01,5.3342,5.5232,5.3331,5.5201,3320800
16-05-01,5.5813,6.0123,5.5564,5.8305,8354400
17-05-01,5.8513,5.9977,5.8139,5.8783,7849600
18-05-01,5.8669,6.0455,5.8658,6.0278,4241600
21-05-01,6.0226,6.0642,5.9707,6.0216,5548800
22-05-01,6.0247,6.1088,5.9396,5.9406,5721600
23-05-01,5.9292,5.9302,5.763,5.789,4233600
24-05-01,5.7952,5.8669,5.7921,5.8669,2835200
25-05-01,5.816,5.898,5.8025,5.8461,2090400
29-05-01,5.8669,5.8669,5.789,5.8253,3448000
30-05-01,5.8139,5.9188,5.7713,5.8773,2692800
31-05-01,5.9188,5.9759,5.8856,5.9468,4470400
01-06-01,5.9458,5.9551,5.8928,5.9354,3959200
04-06-01,5.9292,5.9364,5.7402,5.7828,3301600
05-06-01,5.763,5.8876,5.736,5.7506,1763200
06-06-01,5.8087,5.8253,5.6758,5.6945,1322400
07-06-01,5.7194,5.9188,5.6924,5.8544,1131200
08-06-01,5.8544,5.8544,5.6717,5.736,826800
11-06-01,5.7921,5.7921,5.628,5.6966,974000
12-06-01,5.6758,5.7506,5.6156,5.7423,906800
13-06-01,5.736,5.8503,5.6675,5.7838,1545600
14-06-01,5.815,5.815,5.6904,5.7776,868400
15-06-01,5.8067,5.8876,5.7319,5.763,2157600
18-06-01,5.7423,5.8773,5.709,5.8087,556400
19-06-01,5.8565,5.8773,5.6904,5.7007,1498000
20-06-01,5.734,5.8212,5.6073,5.6114,2234800
21-06-01,5.6488,5.6696,5.5346,5.5637,3183200
22-06-01,5.545,5.6592,5.5034,5.545,1201200
25-06-01,5.545,5.5741,5.41,5.4453,1814400
26-06-01,5.4453,5.5637,5.4308,5.4744,2462800
27-06-01,5.5595,5.6675,5.4723,5.5574,1278000
28-06-01,5.5948,5.6904,5.5657,5.6571,1610000
29-06-01,5.6737,5.8876,5.3996,5.628,3367200
02-07-01,5.5533,5.8918,5.5346,5.8773,3629600
03-07-01,5.7776,5.8773,5.763,5.871,865200
05-07-01,5.8108,5.8918,5.7859,5.8731,1104400
06-07-01,5.8357,5.898,5.6717,5.7028,1860000
09-07-01,5.8025,5.9499,5.8025,5.8544,2453200
10-07-01,5.7672,5.7942,5.6592,5.682,3159200
11-07-01,5.6696,5.7672,5.6301,5.6924,879200
12-07-01,5.6488,5.7111,5.6322,5.7007,1366000
13-07-01,5.7049,5.7319,5.5574,5.5969,1144000
16-07-01,5.6197,5.7672,5.5969,5.6177,844400
17-07-01,5.6135,5.8191,5.5595,5.6966,933600
18-07-01,5.2958,5.7049,5.2958,5.6031,3630800
19-07-01,5.6218,5.7028,5.4619,5.5201,1544000
20-07-01,5.4681,5.6426,5.4619,5.4993,710000
23-07-01,5.4827,5.6904,5.4785,5.5761,1934800
24-07-01,5.4931,5.7921,5.4931,5.6239,1585600
25-07-01,5.6073,5.7527,5.5699,5.7111,746000
26-07-01,5.7942,6.1265,5.7734,5.9728,2965600
27-07-01,6.033,6.681,6.033,6.6353,17762800
30-07-01,6.6187,7.2957,6.5522,7.2272,11256400
31-07-01,7.0112,7.1441,6.8741,7.0506,10079200
01-08-01,6.9468,7.0403,6.7495,6.8305,5207200
02-08-01,6.8118,6.9053,6.7412,6.8388,2678000
03-08-01,6.8367,6.9987,6.6228,6.7287,2619600
06-08-01,6.7267,6.9115,6.656,6.7952,2129200
07-08-01,6.8326,6.8658,6.6519,6.7599,1184800
08-08-01,6.762,6.762,6.5937,6.6249,828800
09-08-01,6.6436,6.7287,6.5231,6.6644,2056400
10-08-01,6.6353,6.9987,6.6,6.9177,3764400
13-08-01,6.8949,6.9053,6.7703,6.8533,1681200
14-08-01,6.8637,7.0091,6.8326,6.9842,1485200
15-08-01,6.9468,7.0361,6.791,6.8741,1378400
16-08-01,6.9156,6.9219,6.8097,6.8741,1643200
17-08-01,6.8575,6.8949,6.789,6.8824,1835200
20-08-01,6.8513,6.9572,6.8139,6.9281,1602000
21-08-01,6.8533,7.1628,6.843,7.0859,1662000
22-08-01,7.1192,7.1233,6.6872,6.8533,2966800
23-08-01,6.7412,6.9156,6.7391,6.7931,1463200
24-08-01,6.8014,7.0299,6.7869,6.9011,1036800
27-08-01,6.8679,7.0257,6.816,6.9987,1020800
28-08-01,7.0091,7.3206,6.9987,7.2791,3640800
29-08-01,7.2749,7.4037,7.196,7.385,3341200
30-08-01,7.2812,7.2998,7.1566,7.2895,3719600
31-08-01,7.169,7.4494,7.1545,7.3082,2043200
04-09-01,7.3601,7.3705,7.1109,7.1109,2415200
05-09-01,7.1649,7.3601,7.0901,7.2105,1425200
06-09-01,7.1856,7.3601,7.1649,7.2313,1990400
07-09-01,7.196,7.3102,7.0029,7.2064,3977600
10-09-01,7.1379,7.2272,6.9364,7.0112,3089600
17-09-01,6.8201,7.196,6.573,6.9696,4459600
18-09-01,6.9593,7.1233,6.7329,6.9572,1987600
19-09-01,7.1109,7.1109,6.3155,6.5543,6648400
20-09-01,6.6041,6.6041,6.1555,6.5086,3678800
21-09-01,6.438,6.438,6.1784,6.3591,6422000
24-09-01,6.3985,6.5418,6.3653,6.4359,3927600
25-09-01,6.4795,6.4816,6.3757,6.4671,4892400
26-09-01,6.4484,6.5294,6.2365,6.2802,3245600
