Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1930,-0.22,-0.2,-0.05,-0.22,-0.16,-0.22,-0.2,-0.17,-0.12,-0.27,0.11,-0.06
1931,-0.15,-0.29,-0.06,-0.3,-0.18,-0.09,0.07,0.09,-0.17,0.04,-0.17,0.07
1932,0.33,-0.28,-0.21,0.05,-0.2,-0.47,-0.23,-0.2,0.04,0.08,-0.11,-0.16
1933,-0.37,-0.28,-0.26,-0.2,-0.14,-0.28,-0.12,-0.18,-0.11,-0.08,-0.37,-0.57
1934,-0.17,-0.13,-0.38,-0.36,-0.01,-0.19,0,0.06,-0.1,-0.06,0.03,0.07
1935,-0.34,0.21,0.03,-0.5,-0.35,-0.23,-0.28,-0.25,-0.4,-0.06,-0.32,-0.19
1936,-0.28,-0.42,-0.17,-0.04,-0.29,-0.18,0.21,0,-0.03,0.01,0.03,0.09
1937,-0.13,0.05,-0.21,-0.2,-0.03,-0.05,-0.12,0.04,0.22,0.21,0.29,-0.09
1938,-0.02,-0.02,0.19,0.26,0.07,-0.13,0.01,-0.09,0.09,0.3,0.1,-0.12
1939,-0.03,-0.18,-0.38,-0.18,-0.02,-0.11,-0.14,-0.26,-0.16,-0.11,-0.18,0.32
1940,-0.21,0.04,0.09,0,0.05,0.14,0.2,0.06,0.17,0.03,0.04,0.21
1941,0.01,0.19,-0.13,-0.01,0.08,0.11,0.25,0.02,-0.21,0.08,-0.07,0.01
1942,0.17,-0.07,-0.03,-0.04,0.01,0.02,0.03,0.08,0.04,-0.03,0.1,0.02
1943,-0.23,0.03,-0.15,0,-0.11,-0.12,0.08,-0.2,0.01,0.27,0.04,0.19
1944,0.32,0.11,0.08,-0.08,-0.09,-0.07,0.03,0.04,0.21,0.18,-0.03,-0.23
1945,-0.02,-0.19,-0.06,0.09,-0.3,-0.32,-0.27,0.19,0.05,0.02,-0.1,-0.4
1946,-0.04,-0.07,-0.2,0.03,-0.02,-0.21,0.01,-0.06,-0.03,-0.19,-0.13,-0.36
1947,-0.18,-0.01,0.13,0.08,-0.05,-0.01,-0.05,-0.01,-0.02,0.21,0.2,-0.2
1948,0.16,-0.2,-0.32,-0.16,0,0.03,-0.19,-0.21,-0.03,-0.05,-0.21,-0.22
1949,0.02,-0.38,-0.11,-0.29,-0.17,-0.19,-0.12,-0.14,-0.1,-0.02,-0.06,-0.2
1950,-0.33,-0.35,-0.09,-0.26,-0.26,-0.12,-0.15,-0.37,-0.2,-0.25,-0.43,-0.21
1951,-0.41,-0.5,-0.18,-0.06,0.03,-0.07,-0.06,0.08,0.06,-0.02,-0.05,0.11
1952,0.07,0.08,-0.21,-0.09,-0.13,-0.13,0.03,0.08,0.1,-0.06,-0.23,-0.06
1953,0.07,0.04,0.12,0.07,-0.06,-0.02,-0.08,0.08,0.05,0.03,0,0.13
1954,-0.32,-0.1,-0.13,-0.16,-0.2,-0.22,-0.28,-0.2,-0.19,0,0.15,-0.14
1955,0.21,-0.11,-0.4,-0.19,-0.19,-0.2,-0.17,0.1,-0.11,0,-0.26,-0.33
1956,-0.25,-0.32,-0.34,-0.26,-0.3,-0.1,-0.12,-0.33,-0.15,-0.24,-0.24,-0.19
1957,-0.15,-0.05,-0.08,0.01,0,0.13,-0.12,0.13,0.09,0,0.14,0.2
1958,0.42,0.25,0.18,0.09,0.12,-0.17,0.07,-0.1,-0.06,0.09,0.08,-0.06
1959,0.04,0.09,0.24,0.18,-0.03,0.08,0.1,0,-0.14,-0.11,-0.1,0.09
1960,0.08,0.26,-0.46,-0.21,-0.14,-0.03,-0.12,0.07,0.09,0.11,-0.1,0.17
